Filter;;;;
;;;;
Count - Stage Name;Stage Name;;;
Industry;Closed Lost;Closed Won;Disqualified;Total Result
(empty);56;302;10;368
Accounting;;1;;1
Advertising;5;8;;13
Aerospace & Defense;;1;;1
Agricultural Products;;2;;2
Air Freight & Logistics;1;2;;3
Automotive;1;;;1
Banking;;1;;1
Banking & Mortgages;;1;;1
Banks;;1;;1
Biotechnology;1;10;2;13
Broadcasting;1;;;1
Building Materials;2;;;2
Business Services;7;13;2;22
Capital Markets;;6;3;9
Commercial Printing;;2;;2
Commercial Services & Supplies;2;3;;5
Communications Equipment;;5;;5
Computer Hardware;1;1;;2
Computer Networking;;14;1;15
Computer Software;18;83;5;106
Construction;2;;;2
Construction & Engineering;;3;1;4
Consulting;6;54;2;62
Consumer Discretionary;2;11;3;16
Consumer Goods;2;;;2
Consumer Services;1;;;1
Consumer Staples;1;;;1
Containers & Packaging;;1;;1
Corporate Services;1;;;1
Distributors;;1;;1
Diversified Consumer Services;;5;;5
Diversified Financial Services;7;26;;33
Diversified Telecommunication Services;4;16;1;21
E-Learning;1;2;;3
Education;2;8;;10
Education Management;1;;;1
Education Services;;3;;3
Electrical Equipment;2;4;;6
Engineering;;1;;1
Entertainment;1;;;1
Environmental;1;;;1
Finance;4;10;;14
Financial Services;6;8;;14
Food Products;;1;;1
Health & Wellness;1;;1;2
Health Care;1;3;;4
Health Care Providers & Services;5;16;;21
Health, Wellness & Fitness;;2;;2
Healthcare;;4;;4
Higher Education;1;1;;2
Hospital & Health Care;1;18;1;20
Hospitals / Health Care;1;;;1
Hospitals & Clinics;;1;;1
Hotels, Restaurants & Leisure;1;17;;18
Household Durables;;1;;1
Human Resource & Employment Services;;1;;1
Human Resources;1;5;;6
Industrial Automation;;1;;1
Industrial Conglomerates;;4;;4
Information Services;2;5;1;8
Information Technology & Services;1;5;;6
Information Technology and Services;2;3;;5
Insurance;3;6;;9
Integrated Telecommunication Services;;1;;1
Internet;15;68;2;85
Internet Software & Services;284;1651;93;2028
Internet Software and Services;;2;;2
Investment Banking;;1;;1
Investment Banking & Brokerage;;4;;4
IT Services;4;8;;12
Legal Services;;4;;4
Leisure Products;2;1;;3
Logistics / Transportation;1;;;1
Manufacturing;;3;;3
Manufacturing - Durables;;1;;1
Market Research;;;1;1
Marketing and Advertising;1;7;;8
Media;18;38;1;57
Media & Internet;2;;;2
Media and Entertainment;1;2;;3
Oil & Gas;;2;;2
Oil and Energy;;7;;7
Other;1;;;1
Paper Products;;1;;1
Pharmaceuticals;2;6;;8
Professional Services;80;238;14;332
Professional Sports;;3;;3
Professional Training and Coaching;;2;;2
Public Safety;;2;;2
Publishing;;8;;8
Real Estate;2;13;;15
Renewable Electricity;6;3;;9
Renewable Energy;;4;;4
Research;;3;;3
Retail;1;1;;2
Retailing;;4;;4
Schools and Education;;4;;4
Security and Investigations;1;1;;2
Services;1;4;;5
Shipping;3;1;;4
Shipping & Logistics;;1;;1
Software;6;15;;21
Specialized Consumer Services;1;2;;3
Staffing and Recruiting;;2;;2
Technology;10;84;2;96
Telecom / Communication Services;;1;;1
Telecommunications;3;4;;7
Textiles, Apparel & Luxury Goods;;2;;2
Transportation;2;26;;28
Venture Capital & Private Equity;;2;1;3
Wholesale;;3;;3
Wireless;2;1;;3
Total Result;608;2944;147;3699
